Ano,SEXO,Director_1,Trabajo
1999,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2005,M,NO,No trabajó de director
1998,M,NO,No trabajó de director
1998,M,NO,No trabajó de director
1998,F,NO,No trabajó de director
1999,M,NO,No trabajó de director
1999,M,Finanzas,Trabajo de Director
1999,F,Posgrados,Trabajo de Director
1999,M,Comercial,Trabajo de Director
1999,M,NO,No trabajó de director
1999,M,Comercial,Trabajo de Director
1999,F,NO,No trabajó de director
1999,F,NO,No trabajó de director
2000,M,NO,No trabajó de director
2000,M,Proyectos y Asesoria,Trabajo de Director
2000,M,Innovación,Trabajo de Director
2000,F,Gestión de Calidad,Trabajo de Director
2000,M,Gestión y planeación,Trabajo de Director
2000,M,NO,No trabajó de director
2000,F,Corporativo,Trabajo de Director
2000,F,NO,No trabajó de director
2001,F,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,F,Proyectos y Asesoria,Trabajo de Director
2001,F,Comercial,Trabajo de Director
2001,M,Operativo,Trabajo de Director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,Gestión de Calidad,Trabajo de Director
2001,F,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,F,Gestión de Calidad,Trabajo de Director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,F,Finanzas,Trabajo de Director
2001,F,Negocios,Trabajo de Director
2001,F,NO,No trabajó de director
2001,F,NO,No trabajó de director
2001,F,NO,No trabajó de director
2001,M,NO,No trabajó de director
2001,F,Software,Trabajo de Director
2001,F,NO,No trabajó de director
2001,M,Operativo,Trabajo de Director
2001,M,Gestión Integral,Trabajo de Director
2001,F,NO,No trabajó de director
2001,F,Logística ,Trabajo de Director
2001,F,NO,No trabajó de director
2001,M,NO,No trabajó de director
2002,F,Finanzas,Trabajo de Director
2002,F,Gestión de Calidad,Trabajo de Director
2002,F,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,F,Proyectos y Asesoria,Trabajo de Director
2002,M,HSE,Trabajo de Director
2002,M,NO,No trabajó de director
2002,F,Finanzas,Trabajo de Director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,NO,No trabajó de director
2002,M,Ventas,Trabajo de Director
2002,M,NO,No trabajó de director
2002,F,Gestión de Calidad,Trabajo de Director
2002,M,NO,No trabajó de director
2002,M,Portafolios de Inversión,Trabajo de Director
2002,M,Gestión de Proyectos,Trabajo de Director
2002,F,Salud Ocupacional,Trabajo de Director
2002,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,M,NO,No trabajó de director
2003,M,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,F,Operaciones y Estrategia,Trabajo de Director
2003,F,Servicios y Alianza,Trabajo de Director
2003,M,Ejecutivo,Trabajo de Director
2003,M,Comercial,Trabajo de Director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,M,Argos,Trabajo de Director
2003,M,NO,No trabajó de director
2003,F,Gestión de Proyectos,Trabajo de Director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,M,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2003,F,NO,No trabajó de director
2004,M,NO,No trabajó de director
2004,M,NO,No trabajó de director
2004,M,Costos y Presupuesto,Trabajo de Director
2004,M,NO,No trabajó de director
2004,M,Gestión de Calidad,Trabajo de Director
2004,M,NO,No trabajó de director
2004,M,Logística ,Trabajo de Director
2004,M,NO,No trabajó de director
2004,M,NO,No trabajó de director
2004,M,NO,No trabajó de director
2004,M,Producción,Trabajo de Director
2004,F,NO,No trabajó de director
2004,M,Cadena de Abastecimiento,Trabajo de Director
2004,M,NO,No trabajó de director
2004,F,NO,No trabajó de director
2004,M,NO,No trabajó de director
2004,F,Operaciones y Estrategia,Trabajo de Director
2004,F,Administrativo y Financiero,Trabajo de Director
2004,F,NO,No trabajó de director
2004,M,Finanzas,Trabajo de Director
2005,F,Seguridad Industrial,Trabajo de Director
2005,F,NO,No trabajó de director
2005,F,NO,No trabajó de director
2005,M,NO,No trabajó de director
2005,M,NO,No trabajó de director
2005,M,NO,No trabajó de director
2005,F,Servicio al Cliente,Trabajo de Director
2005,M,CEO,Trabajo de Director
2005,M,NO,No trabajó de director
2005,M,Planta y Producción,Trabajo de Director
2005,F,NO,No trabajó de director
2005,M,Consultoria,Trabajo de Director
2005,M,Gestión de Proyectos,Trabajo de Director
2005,M,Planeación y Control de Operaciones,Trabajo de Director
2005,M,Garantía de Calidad,Trabajo de Director
2005,M,NO,No trabajó de director
2005,M,Mantenimiento,Trabajo de Director
2005,M,NO,No trabajó de director
2005,F,NO,No trabajó de director
2005,F,NO,No trabajó de director
2005,M,Sistemas Integrados de Gestión,Trabajo de Director
2005,F,Gestión de Calidad,Trabajo de Director
2005,M,NO,No trabajó de director
2005,M,Logística ,Trabajo de Director
2005,M,Olimpica,Trabajo de Director
2005,M,NO,No trabajó de director
2005,M,NO,No trabajó de director
2005,M,NO,No trabajó de director
2005,F,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,M,NO,No trabajó de director
2006,M,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,M,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,M,NO,No trabajó de director
2006,M,NO,No trabajó de director
2006,F,NO,No trabajó de director
2006,F,Planificación,Trabajo de Director
2006,F,NO,No trabajó de director
2006,F,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,Operaciones y Estrategia,Trabajo de Director
2007,F,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,Gestión de Proyectos,Trabajo de Director
2007,M,Tecnico de Acueducto y Saneamiento Básico,Trabajo de Director
2007,F,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,Planta y Producción,Trabajo de Director
2007,M,Finanzas,Trabajo de Director
2007,F,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2007,M,NO,No trabajó de director
2008,M,NO,No trabajó de director
2009,F,Delegado,Trabajo de Director
1999,M,Proyectos y Asesoria,Trabajo de Director
2003,M,Especialización Alta Gerencia,Trabajo de Director
2006,M,NO,No trabajó de director
2006,M,NO,No trabajó de director
2001,M,NO,No trabajó de director
2004,F,NO,No trabajó de director
2004,M,Investigación,Trabajo de Director
2004,M,NO,No trabajó de director
2001,F,NO,No trabajó de director
1999,M,NO,No trabajó de director
2001,M,Corporativo,Trabajo de Director
2002,M,NO,No trabajó de director
2000,F,NO,No trabajó de director
2004,M,Administrativo y Financiero,Trabajo de Director
2004,M,Economico,Trabajo de Director
2000,M,NO,No trabajó de director
1998,M,Administrativo y Financiero,Trabajo de Director
2006,F,Administrativo y Financiero,Trabajo de Director
2005,M,CEO,Trabajo de Director
