Anio,SEXO,Especializacion_2,Confirmacion
1998,M,Gerencia de Recursos Humanos,Tiene
1999,M,Gestión Pública,Tiene
1999,M,Ciencia en Ingenieria Industrial,Tiene
1999,M,Prevención y control del fuego para la industria petroquimica,Tiene
2001,M,Gerencia de Sistemas de Información,Tiene
2001,F,Gestión de Proyectos de Tecnólogia de la Información,Tiene
2001,M,Salud y cuidado ocupacional de calidad,Tiene
2001,M,Análisis y Gestión Ambiental,Tiene
2002,M,Diseño y Evaluación de Proyectos,Tiene
2003,F,Gestión de Calidad,Tiene
2003,F,Análisis y Gestión Ambiental,Tiene
2003,M,Logística Empresarial,Tiene
2003,F,Seguridad y Salud en el Trabajo,Tiene
2003,M,Dirección de Proyectos,Tiene
2003,F,Seguridad y Salud en el Trabajo,Tiene
2003,F,Gestión de Calidad,Tiene
2004,M,Ingeniería Administrativa,Tiene
2005,F,Diseño y Evaluación de Proyectos,Tiene
2005,M,Logística Empresarial,Tiene
2006,M,Analista de Negocios,Tiene
2006,M,Finanzas,Tiene
2006,F,Gestión Social,Tiene
2007,M,Alta Gerencia,Tiene
1999,M,Derecho de los Negocios,Tiene
2004,F,Tecnología,Tiene
2004,M,Estadística,Tiene
2000,M,Seguridad y Salud en el Trabajo,Tiene
