Ano,SEXO,Docencia_2,Trabajo
2000,F,Fundación Universitaria Conrad Lorenz,Trabajó en Docencia
2001,F,Universidad Abierta y a Distancia,Trabajó en Docencia
2001,M,IEE El Carmen,Trabajó en Docencia
2001,F,Universidad Autonoma del caribe,Trabajó en Docencia
2002,M,Universidad del Magdalena,Trabajó en Docencia
2003,F,Institución Universitaria de Barranquillla,Trabajó en Docencia
2003,M,Corporación Cientech,Trabajó en Docencia
2005,M,Fundación Universitaria Corporación Comfenalco,Trabajó en Docencia
1999,M,Univerisidad Simón Bolivar,Trabajó en Docencia
2003,M,Universidad Simón Bolivar,Trabajó en Docencia
2006,M,Universidad Metropolitana,Trabajó en Docencia
2006,M,Universidad La Gran Colombia,Trabajó en Docencia
2001,M,Universidad Industrial de Santander,Trabajó en Docencia
2004,F,Corporación Unversitaria Corsalud,Trabajó en Docencia
2004,M,Corporación Unversitaria de la Costa,Trabajó en Docencia
2004,M,Universidad Libre,Trabajó en Docencia
2001,F,Universidad Autonoma del caribe,Trabajó en Docencia
1999,M,Universidad de Cartagena,Trabajó en Docencia
2001,M,Universidad Simón Bolivar,Trabajó en Docencia
2002,M,Fundación Universitaria San Martin,Trabajó en Docencia
2000,F,Universidad de Puerto Rico-Bayamon,Trabajó en Docencia
2004,M,UNAD,Trabajó en Docencia
2004,M,Universidad Erasmo Rotterdam,Trabajó en Docencia
2000,M,Universidad del Magdalena,Trabajó en Docencia
1998,M,Universidad del Atlántico,Trabajó en Docencia
2006,F,Universidad del Atlántico,Trabajó en Docencia
2005,M,Secretaria de Educación Distrital de Cartagena,Trabajó en Docencia
