Ano,SEXO,Docencia_1,Trabajo
2005,M,Universidad Nacional de Colombia,Trabajo en Docencia
1998,M,Universidad del Atlántico,Trabajo en Docencia
1999,M,Universidad del Autónoma del Caribe,Trabajo en Docencia
1999,M,Universidad del Atlántico,Trabajo en Docencia
2000,F,Universidad del Atlántico,Trabajo en Docencia
2000,F,Politecnico Costa Atlántica,Trabajo en Docencia
2001,F,Universidad de Sucre,Trabajo en Docencia
2001,M,Escuela Independiente del Distrito de Dallas ,Trabajo en Docencia
2001,F,Universidad del Atlántico,Trabajo en Docencia
2001,M,FED Santa Marta,Trabajo en Docencia
2001,M,Universidad del Norte,Trabajo en Docencia
2001,M,LatinHire Remoto,Trabajo en Docencia
2001,F,SENA,Trabajo en Docencia
2001,F,Tecnologíco de Monterrey,Trabajo en Docencia
2001,F,SENA,Trabajo en Docencia
2002,F,Universidad del Atlántico,Trabajo en Docencia
2002,F,Universidad del Atlántico,Trabajo en Docencia
2002,M,Universidad del Atlántico,Trabajo en Docencia
2002,M,Universidad del Atlántico,Trabajo en Docencia
2002,M,Institución Educativa de EEUU,Trabajo en Docencia
2002,M,Universidad de la Costa,Trabajo en Docencia
2002,M,Universidad Tecnólogica de Bolivar,Trabajo en Docencia
2002,F,SENA,Trabajo en Docencia
2003,F,Institución Universitaria ITSA,Trabajo en Docencia
2003,F,Universidad del Norte,Trabajo en Docencia
2003,M,Universidad Simón Bolivar,Trabajo en Docencia
2003,F,SENA,Trabajo en Docencia
2005,M,SENA,Trabajo en Docencia
2005,M,Instituto Tecnologico de Soledad Atlantico,Trabajo en Docencia
2006,F,SENA,Trabajo en Docencia
2006,M,SENA,Trabajo en Docencia
2008,M,Universidad del Atlántico,Trabajo en Docencia
1999,M,Universidad del Rosario,Trabajo en Docencia
2003,M,Universidad del Atlántico,Trabajo en Docencia
2006,M,Universidad Autonoma,Trabajo en Docencia
2006,M,SENA,Trabajo en Docencia
2001,M,Universida Aútonoma del Caribe,Trabajo en Docencia
2004,F,Universidad de Ismo,Trabajo en Docencia
2004,M,Universidad del Norte,Trabajo en Docencia
2001,F,Universidad Libre,Trabajo en Docencia
1999,M,Universidad del Atlántico,Trabajo en Docencia
2001,M,Universidad del Norte,Trabajo en Docencia
2002,M,Universidad del Atlántico,Trabajo en Docencia
2000,F,Universidad de Puerto Rico-Mayaguez,Trabajo en Docencia
2004,M,Universidad del Atlántico,Trabajo en Docencia
2004,M,Universidad de los Andes,Trabajo en Docencia
2000,M,Universidad Sergio Arboleda,Trabajo en Docencia
1998,M,Universidad Libre,Trabajo en Docencia
2006,F,Universidad Libre,Trabajo en Docencia
2005,M,Colegio Sagrado Corazón de Jesús,Trabajo en Docencia
